LINE,STATION,YEAR,SURVEY_DATE_USED,WHETHER_SURVEYED,IN_0200_0600,OUT_0200_0600,IN_0600_0930,OUT_0600_0930,IN_0930_1500,OUT_0930_1500,IN_1500_1830,OUT_1500_1830,IN_1830_0200,OUT_1830_0200,IN_24_HOURS,OUT_24_HOURS,RANK,STATION_SORT_ID
CBD,Central,2014,6/05/2014,Yes,940,920,10390,42070,21400,30150,45370,16270,19010,7700,"97,110","97,110",1,101
CBD,Town Hall,2014,7/05/2014,Yes,880,880,6380,43210,16930,23550,43670,15270,21760,6720,"89,620","89,620",2,102
CBD,Wynyard,2014,20/05/2014,Yes,590,570,4710,39620,9200,11180,35010,6510,10690,2330,"60,200","60,200",3,103
Western,Parramatta,2014,19/11/2014,Yes,660,330,7790,13700,7400,7020,14960,8660,4150,5260,"34,960","34,960",4,905
North Shore,North Sydney,2014,19/08/2014,Yes,270,270,2340,18340,4450,5590,17760,3050,3790,1360,"28,610","28,610",5,1402
CBD,Redfern,2014,1/05/2014,Yes,250,250,3910,10690,5350,8170,12510,4250,3660,2320,"25,680","25,680",6,108
North Shore,Chatswood,2014,19/08/2014,Yes,210,200,5030,8200,4710,4930,9430,6000,2820,2860,"22,200","22,200",7,1407
Eastern Suburbs,Bondi Junction,2014,2/09/2014,Yes,210,210,10150,4350,4370,4600,5240,8330,1910,4380,"21,880","21,880",8,203
Inner West,Strathfield,2014,9/09/2014,Yes,190,190,7900,4050,4980,3950,5540,7230,2100,5280,"20,710","20,710",9,1110
CBD,Circular Quay,2014,22/05/2014,Yes,200,200,2110,8750,4340,6710,9910,3380,4070,1600,"20,630","20,630",10,104
CBD,Martin Place,2014,27/05/2014,Yes,200,190,590,14250,2900,3420,12340,1790,4600,970,"20,630","20,630",10,107
Illawarra,Hurstville,2014,28/05/2014,Yes,160,160,7790,2200,5230,4180,3840,7450,1270,4290,"18,290","18,290",12,310
North Shore,St Leonards,2014,27/05/2014,Yes,170,170,3420,8900,3090,3310,8780,3230,2130,1990,"17,590","17,590",13,1405
Western,Blacktown,2014,14/10/2014,Yes,190,210,6460,3370,4270,3450,4600,7090,1040,2450,"16,560","16,560",14,911
Inner West,Burwood,2014,9/09/2014,Yes,140,140,4850,2930,4470,3670,4020,5060,1510,3190,"14,990","14,990",15,1109
Eastern Suburbs,Kings Cross,2014,3/09/2013,No,120,120,3690,3820,3110,2670,4400,3640,1550,2620,"12,870","12,870",16,201
North Shore,Hornsby,2014,14/05/2014,Yes,210,100,5550,2260,3060,2390,2750,5200,680,2290,"12,250","12,250",17,1417
Inner West,Ashfield,2014,4/09/2013,No,100,100,5090,2010,2690,2220,2500,4500,820,2370,"11,200","11,200",18,1107
Illawarra,Kogarah,2014,19/06/2014,Yes,90,100,4000,2970,3150,2320,3210,3450,650,2260,"11,100","11,100",19,307
South,Lidcombe,2014,5/06/2014,Yes,100,100,4570,1620,2870,2210,2550,3900,820,3080,"10,910","10,910",20,702
Western,Auburn,2014,19/11/2014,Yes,130,60,3880,1790,3220,2900,2700,3890,960,2260,"10,890","10,890",21,901
CBD,Museum,2014,22/05/2014,Yes,100,100,800,6290,2220,2340,5980,1230,1760,910,"10,860","10,860",22,106
Northern via Strathfield,Epping,2014,21/05/2014,Yes,170,90,5700,1580,2130,1600,1970,4920,600,2380,"10,570","10,570",23,1208
Northern via Macquarie Park,Macquarie University,2014,21/05/2014,Yes,100,100,1310,3220,2570,3940,4530,1970,1580,860,"10,090","10,090",24,1303
CBD,St James,2014,27/05/2014,Yes,100,90,780,5880,1900,2160,5630,1120,1440,580,"9,850","9,850",25,105
Illawarra,Rockdale,2014,28/05/2014,Yes,90,90,4660,780,2610,2170,1670,3770,610,2820,"9,640","9,640",26,306
South,Cabramatta,2014,11/06/2014,Yes,150,80,3780,1070,2760,2820,1750,3760,290,1000,"8,730","8,730",27,708
Bankstown,Bankstown,2014,13/05/2014,Yes,80,60,3010,1810,2400,2570,2840,3130,300,1050,"8,630","8,630",28,612
South,Liverpool,2014,4/06/2014,Yes,150,80,2510,2270,2510,2260,2610,2650,570,1100,"8,350","8,350",29,710
Illawarra,Sutherland,2014,12/06/2014,Yes,140,70,4260,1460,1920,1650,1750,3900,250,1240,"8,320","8,320",30,316
South,Fairfield,2014,12/06/2014,Yes,140,70,3330,1320,2670,2330,1650,3330,260,990,"8,050","8,050",31,706
Western,Westmead,2014,7/03/2013,No,130,70,2940,2470,2060,1610,2270,2250,440,1430,"7,840","7,840",32,906
Western,Penrith,2014,8/10/2014,Yes,240,10,3510,1650,1880,1460,1540,2950,350,1460,"7,520","7,520",33,928
Western,Mount Druitt,2014,14/11/2012,No,140,70,4300,720,1840,1580,910,3600,220,1440,"7,410","7,410",34,924
Eastern Suburbs,Edgecliff,2014,3/09/2013,No,70,70,3100,1840,1620,1600,1920,2440,480,1230,"7,190","7,190",35,202
Airport,Mascot,2014,Mar-14,Yes,40,170,1510,3570,1200,1090,3580,1350,760,910,"7,090","7,090",36,402
Northern via Strathfield,Eastwood,2014,14/05/2014,Yes,120,60,3640,880,1600,1620,1400,3430,310,1070,"7,070","7,070",37,1207
North Shore,Milsons Point,2014,11/06/2014,Yes,60,60,2270,2110,1500,1390,2370,2050,790,1370,"6,990","6,990",38,1401
Inner West,Newtown,2014,4/09/2013,No,70,60,2510,1310,1640,1450,1860,2360,820,1720,"6,900","6,900",39,1102
Bankstown,Campsie,2014,13/05/2014,Yes,60,60,3170,680,2050,1850,1250,3380,200,760,"6,730","6,730",40,607
Western,Seven Hills,2014,7/03/2013,No,110,60,3930,1040,1310,1280,1140,3270,200,1030,"6,690","6,690",41,910
Northern via Strathfield,Rhodes,2014,28/05/2014,Yes,60,70,2210,2320,1360,1270,2600,1910,420,1090,"6,650","6,650",42,1203
Airport,Domestic Airport,2014,Mar-14,Yes,10,280,1140,1520,2110,2110,1550,1820,1300,380,"6,110","6,110",43,403
Western,Granville,2014,7/03/2013,No,110,60,2590,1110,1520,1270,1420,2480,440,1170,"6,080","6,080",44,903
Northern via Strathfield,West Ryde,2014,14/05/2014,Yes,100,50,2930,1060,1370,1360,1240,2600,250,800,"5,890","5,890",45,1205
East Hills,Campbelltown,2014,27/05/2014,Yes,110,50,3130,920,1220,1140,1140,2740,150,900,"5,750","5,750",46,518
Airport,Green Square,2014,Mar-14,Yes,0,0,1630,2900,850,830,2820,1190,430,800,"5,730","5,730",47,401
North Shore,Gordon,2014,27/06/2013,No,50,50,3000,1000,1220,1180,1100,2190,290,1240,"5,660","5,660",48,1411
Illawarra,Sydenham,2014,8/05/2014,Yes,50,50,1900,1720,1180,950,1910,1730,620,1210,"5,660","5,660",48,301
South,Merrylands,2014,11/06/2014,Yes,90,50,2190,670,1520,1550,1270,2280,210,720,"5,280","5,280",50,703
North Shore,Artarmon,2014,27/08/2013,No,90,50,2920,760,970,880,1000,2440,280,1130,"5,260","5,260",51,1406
Central Coast,Gosford,2014,21/11/2013,No,520,20,2400,1000,880,930,1170,2060,80,1050,"5,050","5,050",52,1808
East Hills,Glenfield,2014,20/08/2013,No,80,40,3180,830,1090,520,370,2430,80,960,"4,800","4,800",53,513
North Shore,Turramurra,2014,21/08/2014,Yes,30,30,2950,560,800,620,680,2450,110,900,"4,570","4,570",54,1413
Bankstown,Lakemba,2014,13/05/2014,Yes,70,40,1970,610,1360,1270,1030,2070,130,590,"4,560","4,560",55,609
Western,St Marys,2014,27/03/2013,No,60,20,2370,830,1070,850,890,2120,170,740,"4,560","4,560",55,925
Illawarra,Wolli Creek,2014,3/06/2014,Yes,80,40,1610,660,1090,730,1180,1640,330,1230,"4,290","4,290",57,303
Central Coast,Woy Woy,2014,14/11/2013,No,650,0,2570,210,650,750,300,2280,100,1030,"4,270","4,270",58,1804
Illawarra,Mortdale,2014,20/06/2013,No,40,40,2660,310,930,850,500,2140,110,900,"4,240","4,240",59,312
East Hills,Revesby,2014,28/05/2014,Yes,40,40,2480,370,770,650,790,2550,100,580,"4,180","4,180",60,509
East Hills,Riverwood,2014,21/08/2013,No,80,40,2390,320,940,710,580,2110,120,940,"4,110","4,110",61,507
Olympic Park,Olympic Park,2014,18/06/2013,No,0,0,270,2230,510,1040,2890,290,420,530,"4,090","4,090",62,801
North Shore,Lindfield,2014,15/08/2013,No,30,30,2330,540,830,790,700,2040,180,660,"4,070","4,070",63,1409
Bankstown,Marrickville,2014,8/05/2014,Yes,30,40,1890,570,1040,1010,850,1790,150,560,"3,960","3,960",64,603
Northern via Macquarie Park,Macquarie Park,2014,21/05/2014,Yes,40,30,440,2130,460,460,2360,360,600,900,"3,900","3,900",65,1302
Illawarra,Caringbah,2014,27/05/2014,Yes,50,30,1790,1010,710,790,1250,1570,90,490,"3,890","3,890",66,320
East Hills,Ingleburn,2014,29/05/2014,Yes,120,30,1940,630,730,690,730,1720,160,610,"3,680","3,680",68,515
Illawarra,Miranda,2014,27/05/2014,Yes,60,30,1440,700,1090,1250,1090,1340,100,450,"3,780","3,780",67,319
Illawarra,Penshurst,2014,27/05/2014,Yes,50,30,2450,330,630,550,410,1900,50,780,"3,590","3,590",69,311
Inner West,Petersham,2014,9/09/2014,Yes,30,30,1530,1030,1060,600,780,1400,190,540,"3,590","3,590",69,1104
Inner West,Summer Hill,2014,5/09/2013,No,30,30,2210,450,690,670,530,1670,130,770,"3,590","3,590",69,1106
East Hills,Padstow,2014,10/08/2011,No,50,30,2490,380,530,650,440,1980,60,540,"3,570","3,570",72,508
Western,Wentworthville,2014,26/03/2013,No,50,30,2660,180,510,520,280,1860,50,960,"3,550","3,550",73,907
Inner West,Stanmore,2014,5/09/2013,No,30,30,1970,750,530,560,880,1470,100,700,"3,510","3,510",74,1103
Northern via Strathfield,Meadowbank,2014,26/03/2013,No,30,30,2040,730,740,970,390,1330,240,380,"3,440","3,440",75,1204
Bankstown,St Peters,2014,5/03/2013,No,30,30,1770,760,510,500,830,1340,200,710,"3,340","3,340",76,602
Northern via Macquarie Park,Pennant Hills,2014,29/05/2014,Yes,40,30,1760,730,610,600,840,1570,60,400,"3,310","3,310",77,1306
East Hills,Holsworthy,2014,21/08/2013,No,30,30,2340,190,450,270,330,1830,100,950,"3,250","3,250",78,512
Western,Kingswood,2014,27/03/2013,No,60,30,1230,740,790,880,900,1140,210,400,"3,190","3,190",79,927
Western,Pendle Hill,2014,26/03/2013,No,40,30,2070,470,510,520,450,1390,80,740,"3,150","3,150",80,908
North Shore,Pymble,2014,21/08/2014,Yes,20,20,1580,750,390,390,960,1380,100,500,"3,050","3,050",82,1412
Bankstown,Punchbowl,2014,11/06/2014,Yes,50,30,1640,330,850,690,500,1730,100,360,"3,140","3,140",81,611
North Shore,Waitara,2014,22/08/2013,No,40,20,1710,830,440,360,810,1260,40,570,"3,040","3,040",83,1416
South,Flemington,2014,5/06/2014,Yes,20,30,1360,680,720,530,740,1300,170,490,"3,010","3,010",84,701
East Hills,Kingsgrove,2014,18/06/2013,No,20,20,1290,880,690,470,790,1210,160,360,"2,950","2,950",85,504
Western,Quakers Hill,2014,13/06/2013,No,60,0,2080,280,410,440,340,1660,60,570,"2,950","2,950",85,913
Airport,International Airport,2014,Mar-14,Yes,0,100,700,1170,1130,950,630,480,490,250,"2,950","2,950",85,404
East Hills,Minto,2014,25/06/2013,No,50,20,1700,420,470,400,540,1560,110,470,"2,870","2,870",88,516
South,Guildford,2014,20/08/2013,No,50,30,1520,300,670,650,450,1370,130,480,"2,820","2,820",89,704
Illawarra,Jannali,2014,26/06/2013,No,30,30,1940,180,500,380,310,1590,40,630,"2,820","2,820",89,315
Bankstown,Belmore,2014,5/03/2013,No,40,20,1460,310,650,680,580,1570,60,220,"2,790","2,790",91,608
Western,Rooty Hill,2014,26/03/2013,No,50,20,1840,190,550,460,260,1550,60,540,"2,760","2,760",92,923
East Hills,Beverly Hills,2014,8/05/2014,Yes,60,10,1770,400,380,400,360,1240,90,610,"2,660","2,660",93,505
East Hills,Macarthur,2014,4/06/2014,Yes,50,20,1110,390,700,750,650,1120,150,370,"2,660","2,660",93,519
Illawarra,Cronulla,2014,13/06/2013,No,40,20,1370,360,700,680,440,1150,100,430,"2,650","2,650",95,322
North Shore,Roseville,2014,19/08/2014,Yes,20,20,1740,320,370,450,420,1370,60,440,"2,610","2,610",96,1408
Northern via Strathfield,North Strathfield,2014,1/05/2014,Yes,20,20,1560,480,340,400,570,1070,110,610,"2,600","2,600",97,1201
North Shore,Waverton,2014,20/08/2014,Yes,20,20,1760,160,460,410,250,1390,50,550,"2,540","2,540",98,1403
North Shore,Wollstonecraft,2014,20/08/2014,Yes,20,20,1760,160,460,410,250,1390,50,550,"2,540","2,540",98,1404
East Hills,Leumeah,2014,27/06/2013,No,50,20,1600,130,530,320,240,1510,50,490,"2,470","2,470",100,517
Northern via Strathfield,Concord West,2014,19/03/2013,No,20,20,1280,460,420,330,590,1220,150,420,"2,460","2,460",101,1202
Western,Toongabbie,2014,20/11/2012,No,50,20,1500,240,480,430,340,1290,80,460,"2,450","2,450",102,909
South,Canley Vale,2014,11/06/2014,Yes,40,20,1370,190,650,490,320,1260,50,460,"2,430","2,430",103,707
Northern via Macquarie Park,Thornleigh,2014,27/03/2013,No,50,20,1560,180,480,300,260,1400,70,500,"2,420","2,420",104,1307
North Shore,Wahroonga,2014,21/08/2014,Yes,30,20,1220,600,290,370,800,1060,70,380,"2,410","2,410",105,1415
Bankstown,Dulwich Hill,2014,8/05/2014,Yes,20,20,1330,420,450,500,530,1050,70,420,"2,400","2,400",106,604
Inner West,Croydon,2014,4/09/2012,No,20,20,1400,450,390,490,470,970,100,440,"2,380","2,380",107,1108
South,Warwick Farm,2014,13/06/2012,No,40,20,1440,240,500,400,320,1270,80,460,"2,380","2,380",107,709
South Coast,Wollongong,2014,28/10/2014,Yes,150,10,730,630,660,690,640,600,200,460,"2,380","2,380",107,1517
Western,Doonside,2014,6/06/2013,No,40,20,1680,170,390,380,220,1260,40,530,"2,370","2,370",110,922
Illawarra,Carlton,2014,3/06/2014,Yes,40,20,1590,170,460,440,210,1180,50,530,"2,350","2,350",111,308
North Shore,Killara,2014,27/08/2013,No,10,20,1590,210,380,410,280,1320,80,400,"2,340","2,340",112,1410
Illawarra,Gymea,2014,11/06/2014,Yes,30,20,1420,280,450,430,370,1100,40,490,"2,310","2,310",113,318
Inner West,Lewisham,2014,6/09/2012,No,20,20,1220,480,430,300,490,1100,130,400,"2,290","2,290",114,1105
Bankstown,Berala,2014,5/06/2014,Yes,20,20,1390,120,510,530,290,1230,50,360,"2,260","2,260",115,615
Northern via Macquarie Park,Beecroft,2014,20/08/2013,No,30,20,1630,150,330,340,190,1230,40,480,"2,220","2,220",116,1305
Illawarra,Arncliffe,2014,28/05/2014,Yes,20,20,1430,210,410,500,290,1030,60,450,"2,210","2,210",117,304
Bankstown,Erskineville,2014,28/05/2014,Yes,20,20,930,430,410,420,610,920,150,330,"2,120","2,120",118,601
Inner West,Homebush,2014,5/06/2014,Yes,20,20,1030,330,470,460,520,950,80,360,"2,120","2,120",118,1111
Bankstown,Canterbury,2014,8/05/2014,Yes,30,20,810,560,480,450,690,740,70,300,"2,080","2,080",120,606
Bankstown,Yagoona,2014,22/05/2014,Yes,30,20,1270,200,470,450,260,1020,50,390,"2,080","2,080",120,613
Bankstown,Wiley Park,2014,13/05/2014,Yes,20,20,1090,260,570,490,350,960,40,330,"2,070","2,070",122,610
Illawarra,Oatley,2014,27/03/2014,Yes,20,10,1300,340,280,370,430,1010,30,330,"2,060","2,060",123,313
East Hills,Narwee,2014,3/06/2014,Yes,20,20,1350,110,410,360,210,1090,30,440,"2,020","2,020",124,506
Illawarra,Allawah,2014,22/08/2013,No,10,20,1310,150,350,340,220,950,20,460,"1,910","1,910",125,309
South Coast,North Wollongong,2014,14/08/2012,No,20,0,380,670,730,620,470,360,260,210,"1,860","1,860",126,1516
North Shore,Berowra,2014,21/08/2013,No,40,0,1420,110,180,360,120,970,20,340,"1,780","1,780",127,1421
Northern via Macquarie Park,Normanhurst,2014,26/03/2013,No,20,10,1020,490,420,290,290,690,30,310,"1,780","1,780",127,1308
Western,Emu Plains,2014,25/10/2012,No,150,20,1060,230,270,140,210,970,30,370,"1,720","1,720",129,929
Western,Harris Park,2014,7/03/2013,No,20,20,920,260,400,360,280,740,90,320,"1,710","1,710",130,904
Central Coast,Wyong,2014,16/10/2014,Yes,210,10,810,170,360,390,240,660,50,450,"1,670","1,670",131,1814
Blue Mountains,Katoomba,2014,11/09/2012,No,60,0,350,260,580,710,550,450,120,240,"1,660","1,660",132,1715
Northern via Macquarie Park,North Ryde,2014,21/05/2014,Yes,0,0,230,990,260,280,980,250,170,110,"1,640","1,640",133,1301
East Hills,Panania,2014,21/08/2013,No,30,10,800,510,270,180,480,660,30,260,"1,610","1,610",134,510
Illawarra,Engadine,2014,14/06/2012,No,30,10,900,320,240,220,370,750,40,280,"1,580","1,580",135,324
North Shore,Warrawee,2014,13/05/2014,Yes,10,10,670,660,110,120,770,580,20,210,"1,580","1,580",135,1414
Illawarra,Banksia,2014,3/06/2014,Yes,10,10,980,110,280,230,250,920,40,300,"1,560","1,560",137,305
Bankstown,Regents Park,2014,11/06/2014,Yes,20,10,520,540,340,280,600,560,60,150,"1,540","1,540",138,616
Illawarra,Tempe,2014,3/06/2014,Yes,10,10,820,470,350,170,280,580,70,290,"1,530","1,530",139,302
Blue Mountains,Springwood,2014,21/11/2013,No,90,0,790,220,250,280,340,750,50,270,"1,520","1,520",140,1706
Northern via Macquarie Park,Cheltenham,2014,27/06/2013,No,10,10,740,480,300,200,420,540,10,250,"1,480","1,480",141,1304
North Shore,Asquith,2014,27/03/2013,No,30,10,820,690,550,30,40,470,30,260,"1,470","1,470",142,1418
Illawarra,Kirrawee,2014,22/08/2013,No,30,10,790,170,350,260,220,740,60,260,"1,450","1,450",143,317
South Coast,Thirroul,2014,7/08/2012,No,50,10,950,70,330,160,90,880,20,310,"1,440","1,440",144,1509
Bankstown,Hurlstone Park,2014,5/03/2013,No,10,10,900,90,320,270,120,660,20,320,"1,370","1,370",145,605
Central Coast,Tuggerah,2014,7/11/2012,No,130,10,700,140,300,340,190,650,50,240,"1,370","1,370",145,1813
Bankstown,Chester Hill,2014,14/08/2013,No,20,10,640,290,350,340,280,570,50,140,"1,340","1,340",147,618
Illawarra,Woolooware,2014,27/05/2014,Yes,20,10,840,130,280,240,160,690,20,260,"1,320","1,320",148,321
East Hills,Macquarie Fields,2014,14/08/2013,No,20,10,770,120,260,190,190,740,50,230,"1,290","1,290",149,514
South,Yennora,2014,4/06/2014,Yes,20,10,450,340,240,200,390,510,130,150,"1,230","1,230",150,705
Western,Windsor,2014,25/11/2014,Yes,40,10,390,120,250,230,480,610,60,240,"1,220","1,220",151,918
Inner West,Macdonaldtown,2014,5/09/2013,No,10,10,570,240,200,210,290,500,90,200,"1,160","1,160",152,1101
Bankstown,Birrong,2014,6/03/2013,No,10,10,540,340,310,170,260,470,20,160,"1,140","1,140",153,614
Newcastle,Civic,2014,22/10/2014,Yes,10,20,170,430,330,310,510,180,80,160,"1,100","1,100",154,1916
East Hills,Bardwell Park,2014,18/06/2013,No,10,10,770,40,200,180,90,600,10,260,"1,080","1,080",155,502
Western,Werrington,2014,28/08/2013,No,20,10,680,60,220,190,140,600,10,220,"1,070","1,070",156,926
Newcastle,Morisset,2014,20/11/2012,No,70,10,630,110,220,180,110,580,30,180,"1,060","1,060",157,1903
Newcastle,Broadmeadow,2014,23/10/2014,Yes,50,20,470,170,270,290,230,370,20,170,"1,040","1,040",158,1913
Western,Marayong,2014,27/03/2013,No,20,10,590,130,160,170,160,460,40,190,970,970,159,912
Newcastle,Newcastle,2014,21/10/2014,Yes,20,10,220,240,440,460,230,170,60,90,970,970,159,1917
Hunter,Warabrook (University),2014,29/08/2013,No,10,10,80,500,330,310,510,90,10,30,940,940,161,2002
East Hills,Bexley North,2014,5/06/2012,No,10,10,630,50,170,100,80,610,30,160,920,920,162,503
Western,Riverstone,2014,25/11/2014,Yes,30,10,400,150,180,190,230,400,40,130,880,880,163,915
Newcastle,Cardiff,2014,4/12/2012,No,70,20,400,130,170,160,160,440,70,150,870,870,164,1910
Western,Richmond,2014,25/11/2014,Yes,30,0,420,100,230,280,160,320,30,160,870,870,164,921
Newcastle,Hamilton,2014,15/10/2014,Yes,30,10,220,200,290,250,220,270,100,140,860,860,166,1914
East Hills,East Hills,2014,18/06/2013,No,20,10,580,50,140,140,80,500,20,140,840,840,167,511
Illawarra,Loftus,2014,14/06/2012,No,10,10,430,140,170,150,190,400,40,140,840,840,167,323
Illawarra,Como,2014,26/06/2012,No,10,10,650,20,130,60,30,570,10,180,830,830,169,314
Illawarra,Heathcote,2014,13/06/2013,No,20,10,440,230,280,100,80,370,10,130,830,830,169,325
Western,Schofields,2014,13/06/2013,No,40,10,640,20,90,80,40,510,10,210,820,820,171,914
Western,Clyde,2014,19/11/2013,No,10,10,250,270,160,170,250,240,100,80,770,770,172,902
Bankstown,Sefton,2014,11/06/2014,Yes,10,10,300,240,130,140,310,290,20,100,770,770,172,617
Bankstown,Villawood,2014,14/08/2013,No,10,10,290,140,220,230,180,290,50,90,750,750,174,620
Blue Mountains,Blaxland,2014,19/09/2012,No,40,0,470,50,130,110,60,400,20,160,720,720,175,1703
South Coast,Helensburgh,2014,21/08/2014,Yes,30,0,520,20,80,40,40,500,10,110,680,680,176,1501
East Hills,Turrella,2014,18/06/2013,No,10,10,380,110,140,110,100,300,40,130,670,670,177,501
Newcastle,Wickham,2014,16/10/2014,Yes,10,10,130,290,190,170,300,150,40,50,670,670,177,1915
Bankstown,Carramar,2014,19/06/2012,No,10,10,320,50,240,220,70,280,20,90,660,660,179,621
Hunter,Maitland,2014,3/06/2009,No,10,10,190,120,220,210,180,260,60,60,660,660,179,2012
Newcastle,Fassifern,2014,22/08/2013,No,30,10,310,110,160,120,110,290,10,100,620,620,181,1906
South Coast,Dapto,2014,15/10/2014,Yes,60,10,260,70,150,130,80,230,20,140,570,570,182,1525
Blue Mountains,Wentworth Falls,2014,19/08/2014,Yes,50,0,220,170,110,110,170,220,20,70,570,570,182,1713
Blue Mountains,Glenbrook,2014,19/08/2014,Yes,30,10,390,30,90,70,40,320,10,130,560,560,184,1702
Northern via Strathfield,Denistone,2014,2/05/2012,No,0,10,390,30,100,50,50,360,10,120,550,550,185,1206
South Coast,Unanderra,2014,16/08/2012,No,60,20,240,80,110,120,100,230,20,90,530,530,186,1523
North Shore,Mount Colah,2014,21/08/2013,No,10,0,460,20,40,130,10,250,0,140,520,520,187,1419
South Coast,Oak Flats,2014,21/10/2014,Yes,40,0,300,70,80,130,70,210,10,80,500,500,188,1527
Illawarra,Waterfall,2014,14/06/2012,No,10,0,320,30,120,70,40,280,10,100,500,500,188,326
Western,East Richmond,2014,7/04/2011,No,10,0,140,170,160,130,110,120,60,50,480,480,190,920
Central Coast,Narara,2014,5/11/2013,No,70,0,290,30,80,70,40,250,0,120,480,480,190,1809
Blue Mountains,Leura,2014,11/09/2012,No,40,0,170,60,150,160,80,170,20,60,460,460,192,1714
Hunter,Victoria Street,2014,3/06/2009,No,20,0,170,80,140,130,70,180,30,40,430,430,193,2009
Blue Mountains,Hazelbrook,2014,19/11/2013,No,50,0,230,40,70,90,50,210,20,70,420,420,194,1710
Newcastle,Wyee,2014,21/11/2012,No,50,0,210,20,80,70,40,230,10,60,390,390,195,1902
South Coast,Bomaderry (Nowra),2014,23/10/2014,Yes,30,10,180,30,80,140,80,150,10,40,380,380,196,1534
Carlingford,Carlingford,2014,18/11/2014,Yes,10,0,200,110,80,60,80,140,10,70,380,380,196,1006
South Coast,Coniston,2014,14/10/2014,Yes,20,0,190,40,90,90,70,180,10,70,380,380,196,1518
Western,Mulgrave,2014,20/11/2013,No,10,0,230,80,60,60,60,160,20,70,380,380,196,917
Central Coast,Ourimbah,2014,12/11/2013,No,30,10,170,90,70,70,70,160,30,50,370,370,200,1812
Newcastle,Warnervale,2014,21/11/2012,No,40,0,240,20,50,20,20,230,10,80,360,360,201,1901
Hunter,Waratah,2014,3/06/2009,No,0,0,120,70,90,110,90,120,50,50,350,350,202,2001
Carlingford,Telopea,2014,18/11/2014,Yes,0,0,260,30,50,70,20,130,10,100,340,340,203,1005
Hunter,Beresfield,2014,3/06/2009,No,0,20,140,60,110,100,60,120,20,30,330,330,204,2006
South Coast,Albion Park,2014,17/06/2014,Yes,20,0,220,20,50,70,30,190,0,40,320,320,205,1526
South,Casula,2014,19/06/2012,No,10,0,190,30,70,50,40,170,10,60,320,320,205,711
Central Coast,Hawkesbury River,2014,30/10/2012,No,0,0,150,50,110,90,50,150,10,40,320,320,205,1802
Bankstown,Leightonfield,2014,19/06/2012,No,10,0,20,150,60,80,170,70,60,10,320,320,205,619
Blue Mountains,Lithgow,2014,9/10/2014,Yes,20,0,120,20,100,80,70,170,10,40,320,320,205,1721
North Shore,Mount Kuring-gai,2014,22/05/2014,Yes,10,0,200,10,80,60,30,190,0,50,320,320,205,1420
South Coast,Bellambi,2014,14/08/2013,No,20,0,130,100,50,60,100,100,10,50,310,310,211,1512
Southern Highlands,Bowral,2014,18/06/2014,Yes,10,0,110,50,130,100,50,100,0,60,300,300,212,1609
South Coast,Kiama,2014,19/06/2014,Yes,10,0,120,30,120,130,50,120,0,30,300,300,212,1531
Blue Mountains,Blackheath,2014,21/08/2014,Yes,30,0,110,30,110,110,30,130,10,30,290,290,214,1717
South Coast,Corrimal,2014,13/08/2013,No,10,0,140,50,70,70,50,120,10,50,280,280,215,1513
Southern Highlands,Moss Vale,2014,19/06/2014,Yes,30,10,100,40,80,90,60,100,10,30,280,280,215,1611
Southern Highlands,Picton,2014,19/06/2014,Yes,20,0,140,10,60,50,40,120,10,70,270,270,217,1604
South Coast,Bulli,2014,20/08/2014,Yes,10,0,90,110,90,30,70,100,0,30,260,260,218,1510
South Coast,Fairy Meadow,2014,29/08/2013,No,20,0,130,40,40,70,50,90,10,50,250,250,219,1515
Blue Mountains,Lawson,2014,19/08/2014,Yes,30,0,100,20,90,40,30,150,0,50,250,250,219,1711
Carlingford,Rydalmere,2014,8/11/2012,No,0,0,50,130,20,60,120,50,50,10,240,240,221,1003
Hunter,Telarah,2014,3/06/2009,No,20,0,90,30,70,70,50,80,10,40,240,240,221,2013
Hunter,Thornton,2014,3/06/2009,No,0,0,120,50,50,60,50,120,20,10,240,240,221,2007
South Coast,Woonona,2014,20/08/2014,Yes,10,0,130,30,50,50,40,110,10,40,240,240,221,1511
Central Coast,Lisarow,2014,15/10/2014,Yes,30,0,120,50,40,40,30,90,10,50,230,230,225,1811
Blue Mountains,Faulconbridge,2014,12/09/2012,No,20,0,130,10,50,40,10,130,0,40,210,210,226,1707
Central Coast,Point Clare,2014,16/10/2014,Yes,30,10,140,10,30,20,10,120,0,50,210,210,226,1807
Southern Highlands,Tahmoor,2014,18/06/2014,Yes,30,10,100,10,40,40,30,90,10,60,210,210,226,1605
Carlingford,Dundas,2014,8/11/2012,No,0,0,150,10,40,10,10,150,0,40,200,200,229,1004
Blue Mountains,Woodford,2014,12/09/2012,No,20,0,120,0,60,60,0,110,0,30,200,200,229,1709
Hunter,Metford,2014,3/06/2009,No,10,0,100,20,40,80,30,80,10,20,190,190,231,2008
Southern Highlands,Mittagong,2014,17/06/2014,Yes,10,0,90,20,50,60,30,80,10,30,190,190,231,1608
Blue Mountains,Warrimoo,2014,5/11/2013,No,10,0,140,10,30,30,10,100,0,40,190,190,231,1704
South Coast,Port Kembla,2014,4/08/2010,No,10,0,60,50,50,50,40,40,20,20,180,180,234,1522
Central Coast,Tascott,2014,19/11/2013,No,0,0,150,10,20,10,0,90,0,60,170,170,235,1806
South Coast,Austinmer,2014,21/08/2013,No,0,0,130,0,20,30,10,80,0,50,160,160,236,1508
