Date	Users
August 26, 2008	100000000
April 8, 2009	200000000
September 15, 2009	300000000
February 5, 2010	400000000
July 21, 2010	500000000
January 5, 2011	600000000
May 30, 2011	700000000
September 22, 2011	800000000
April 24, 2012	900000000
September 14, 2012	1000000000
March 31, 2013	1110000000
December 31, 2013	1230000000
December 31, 2014	1390000000
