name,juanita,hugh
/juicy-j-wiz-khalifa-ty-dolla-sign/shell-shocked-from-teenage-mutant-ninja-turtles-single/shell-shocked-feat-kill-noise-madsonik,,
/killers/hot-fuss/mr-brightside,,1.0
/killers/when-you-were-young/when-you-were-young,,1.0
/kongos/lunatic/come-with-me-now,,1.0
/kshmr-dallask/burn-single/burn,,1.0
/kurt-nilsen/i/shes-so-high,,1.0
/lily-allen/its-not-me-its-you/back-to-start,,1.0
/lindsey-stirling/lindsey-stirling-deluxe-version/crystallize,,1.0
/lindsey-stirling/lindsey-stirling-deluxe-version/minimal-beat,,1.0
/lindsey-stirling/lindsey-stomp/song-of-caged-bird,,1.0
/linkin-park/hybrid-theory/in-end,,1.0
/linkin-park/meteora/numb,,1.0
/linkin-park/meteora/somewhere-i-belong,,1.0
/lit/place-in-sun/my-own-worst-enemy,,1.0
/lustra/left-for-dead/scotty-doesnt-know,,1.0
/major-lazer/all-trap-music-vol-2/jah-no-partial-yellow-claw-yung-felix-remix,,1.0
/martin-garrix-jay-hardway/error-404-single/error-404,,1.0
/martin-garrix-jay-hardway/wizard-remixes/wizard-yellow-claw-remix,,1.0
/martin-garrix-tv-noise/just-some-loops-single/just-some-loops,,1.0
/martin-garrix/annual-2014-ministry-of-sound/animals,,1.0
/martin-garrix/casablanca-nights-vol-1-explicit/animals-victor-niglio-martin-garrix-festival-trap-remix,,1.0
/matchbox-20/yourself-or-someone-like-you/3-am,,1.0
/matchbox-20/yourself-or-someone-like-you/push,,1.0
/meek-mill/dream-chasers/ima-boss,,
/meek-mill/fym-single-explicit/fym-feat-boosie-badazz,1.0,1.0
/meek-mill/meek-mill-classic-volume-2/burn,1.0,1.0
/meek-mill/young-gettin-it-single/young-gettin-it,1.0,
/mia-martina/devotion/turn-it-up,5.0,1.0
/michel-telo/ai-se-eu-te-pego-if-i-get-ya-worldwide-remix-single/ai-se-eu-te-pego-if-i-get-ya-worldwide-remix,,1.0
/morgan-page/2008-party-playlist-masterbeat/longest-road-deadmau5-remix-radio-edit,5.0,1.0
/motion-city-soundtrack/commit-this-to-memory-explicit/everything-is-alright,,1.0
/muse/resistance/uprising,,1.0
/nadia-ali/no-xcuses-violet-edition/rapture-avicii-new-generation-radio-edit,5.0,1.0
/new-found-glory/drive-thru-records-greatest-hits/my-friends-over-you,,1.0
/noisestorm/breakdown-vip-single/breakdown-vip,,1.0
/oceanlab/sirens-of-sea/lonely-girl,5.0,1.0
/offspring/rise-fall-rage-grace-explicit/youre-gonna-go-far-kid,,1.0
/oiki/caspa-presents-dubstep-sessions/groove-trap-mix,,1.0
/oiki/get-it-now-ep/groove,,1.0
/panic-at-disco/fever-you-cant-sweat-out/build-god-then-well-talk,,
/panic-at-disco/fever-you-cant-sweat-out/i-write-sins-not-tragedies,,
/panic-at-disco/fever-you-cant-sweat-out/lying-is-most-fun-girl-can-have-without-taking-her-clothes-off,,1.0
/panic-at-disco/fever-you-cant-sweat-out/nails-for-breakfast-tacks-for-snacks,,1.0
/panic-at-disco/fever-you-cant-sweat-out/theres-good-reason-these-tables-are-numbered-honey-you-just-havent-thought-of-it-yet,,5.0
/phoenix/united/if-i-ever-feel-better,,1.0
/pitbull/global-warming-deluxe-version-explicit/everybody-fucks,,1.0
/postal-service/give-up/such-great-heights,,1.0
/public-enemy/bring-noise-remixes/bring-noise-benny-benassi-pump-kin-remix,,1.0
/r3hab-nervo-ummet-ozcan/revolution-vocal-mix-single/revolution-vocal-mix,5.0,1.0
/r3hab-vinai/how-we-party-single/how-we-party,,1.0
/red-hot-chili-peppers/by-way/by-way,,1.0
/red-hot-chili-peppers/californication/scar-tissue,,1.0
/red-hot-chili-peppers/stadium-arcadium/snow-hey-oh,,1.0
/red-jumpsuit-apparatus/dont-you-fake-it/face-down,,1.0
/regina-spektor/dont-leave-me-ne-me-quitte-pas-single/dont-leave-me-ne-me-quitte-pas,5.0,5.0
/relient-k/mmhmm/be-my-escape,,1.0
/relient-k/x-2007-17-christian-rock-hits/who-i-am-hates-who-ive-been,,1.0
/schoolboy-q/man-of-year-single/man-of-year,1.0,1.0
/schoolboy-q/oxymoron-deluxe-explicit/fuck-la,1.0,1.0
/semisonic/feeling-strangely-fine/closing-time,,5.0
/shins/chutes-too-narrow/young-pilgrims,,
/shins/wincing-night-away/australia,,1.0
/shins/wincing-night-away/turn-on-me,,1.0
/showtek-justin-prime/cannonball-earthquake-single/cannonball-earthquake,,1.0
/sia/6-feet-under-vol-2-everything-ends/breathe-me,5.0,1.0
/simple-plan/no-pads-no-helmetsjust-balls/im-just-kid,,
/simple-plan/still-not-getting-any/welcome-to-my-life,,1.0
/sister-hazel/before-amplifiers/all-for-you-live,,
/smash-mouth/all-star-smash-hits/then-morning-comes,,1.0
/smash-mouth/astro-lounge/all-star,,1.0
/smash-mouth/fush-yu-mang/walkin-on-sun,,
/smash-mouth/smash-mouth/im-believer,,1.0
/spin-doctors/just-go-ahead-now/2-princes,,1.0
/steve-aoki-chris-lake-tujamo/delirious-boneless-single/delirious-boneless-feat-kid-ink,,1.0
/steve-aoki-chris-lake-tujamo/ultra-music-festival-2014/boneless,,1.0
/steve-aoki/come-with-me-deadmeat-remixes/come-with-me-deadmeat-deorro-remix,,1.0
/steve-aoki/wonderland-remixed/come-with-me-deadmeat-jidax-remix,,1.0
/strokes/is-this-it/last-nite,,1.0
/strokes/room-on-fire/reptilia,,1.0
/stromae/alors-on-danse-radio-single/alors-on-danse,,1.0
/stromae/cheese/te-quiero,,1.0
/stromae/ultra-dance-12/alors-on-danse-remix-edited,,1.0
/sublime/sublime-bonus-tracks-edition/caress-me-down,,
/sublime/sublime-bonus-tracks-edition/date-rape,,1.0
/sublime/sublime-bonus-tracks-edition/doin-time,,
/sublime/sublime-bonus-tracks-edition/santeria,,1.0
/sublime/sublime-bonus-tracks-edition/wrong-way,,1.0
/sugar-ray/1459/every-morning,,1.0
/sugar-ray/1459/someday,,1.0
/sugar-ray/floored/fly,,1.0
/sugar-ray/floored/fly-feat-super-cat,,
/sum-41/all-killer-no-filler/heart-attack,,1.0
/sum-41/all-killer-no-filler/in-too-deep,,1.0
/sum-41/does-this-look-infected-explicit/over-my-head-better-off-dead,,1.0
/switchfoot/beautiful-letdown/meant-to-live,,1.0
/tal-bachman/tal-bachman/shes-so-high,,1.0
/thomas-newman/cafe-del-mar-8/any-other-name,,5.0
/train/train/meet-virginia,,1.0
/trevor-hall/trevor-hall/origami-crane,,
/ummet-ozcan/smash-single/smash,,1.0
/vampire-weekend/contra/california-english,,1.0
/vampire-weekend/contra/giving-up-gun,,
/vampire-weekend/contra/holiday,,1.0
/vampire-weekend/contra/horchata,,
/vampire-weekend/contra/white-sky,,1.0
